year,month,adr
2017,January,46.8
2017,January,52.0
2017,January,43.0
2017,January,33.31
2017,January,55.0
2017,January,35.0
2017,January,70.0
2017,January,48.0
2017,February,55.0
2017,February,34.4
2017,February,0.0
2017,February,68.0
2017,February,34.11
2017,February,111.0
2017,February,46.8
2017,February,30.0
2017,February,42.0
2017,February,66.29
2017,February,66.6
2017,February,50.85
2017,February,48.0
2017,February,48.0
2017,February,35.0
2017,February,48.0
2017,February,78.0
2017,February,35.0
2017,February,48.6
2017,February,53.0
2017,February,42.0
2017,February,42.0
2017,February,68.0
2017,February,42.0
2017,February,42.0
2017,February,77.0
2017,February,44.8
2017,March,29.0
2017,March,47.0
2017,March,29.0
2017,March,37.0
2017,March,47.0
2017,March,47.0
2017,March,30.0
2017,March,55.0
2017,March,32.0
2017,March,33.3
2017,March,80.0
2017,March,41.4
2017,March,53.2
2017,March,44.64
2017,March,30.0
2017,March,74.28
2017,March,56.0
2017,April,77.0
2017,April,103.33
2017,April,147.0
2017,April,60.0
2017,April,63.0
2017,April,0.0
2017,April,85.0
2017,April,74.0
2017,April,52.5
2017,April,76.0
2017,May,54.0
2017,May,137.0
2017,May,85.0
2017,May,119.5
2017,May,56.5
2017,May,0.0
2017,May,78.85
2017,May,60.0
2017,May,45.0
2017,May,118.8
2017,May,207.0
2017,May,48.0
2017,May,60.0
2017,May,80.0
2017,May,111.44
2017,June,93.6
2017,June,120.0
2017,June,120.0
2017,June,76.0
2017,June,140.0
2017,June,180.0
2017,June,74.25
2017,June,135.0
2017,June,144.0
2017,July,135.0
2017,July,104.85
2017,July,198.33
2017,July,188.65
2017,July,237.0
2017,July,245.0
2017,July,255.0
2017,July,153.75
2017,July,184.5
2017,July,160.0
2017,August,193.1
2017,August,230.0
2017,August,205.0
2017,August,207.0
2017,August,141.0
2017,August,135.0
2017,August,249.0
2017,August,242.0
2017,August,131.4
2017,August,185.0
2017,August,135.0
2017,August,177.5
2017,August,202.0
2017,February,38.5
2017,January,35.0
2017,February,35.0
2017,August,135.0
2017,February,35.0
2017,April,48.5
2017,July,142.0
2017,January,35.0
2017,July,248.1
2017,June,75.0
2017,April,90.0
2017,August,223.5
2017,July,203.75
2017,January,5.0
2017,March,35.0
2017,April,45.0
2017,January,56.0
2017,March,50.0
2017,July,0.0
2017,February,47.0
2017,March,55.0
2017,May,45.0
2017,June,139.0
2017,January,60.0
2017,January,38.0
2017,March,35.0
2017,June,75.0
2017,April,72.0
2017,May,63.5
2017,February,35.0
2017,April,45.0
2017,July,135.0
2017,June,138.0
2017,April,82.8
2017,July,209.4
2017,July,169.0
2017,March,35.0
2017,January,38.5
2017,February,35.0
2017,February,35.0
2017,March,35.0
2017,April,63.5
2017,May,75.0
2017,June,82.0
2017,January,35.0
2017,April,70.0
2017,August,184.67
2017,April,48.0
2017,June,75.0
2017,January,35.0
2017,February,35.0
2017,May,45.0
2017,February,35.0
2017,June,69.3
2017,January,35.0
2017,February,35.0
2017,February,35.0
2017,March,35.0
2017,March,35.0
2017,April,45.0
2017,June,75.0
2017,January,43.0
2017,June,75.0
2017,July,115.0
2017,February,43.0
2017,February,43.0
2017,March,0.0
2017,January,45.0
2017,January,48.0
2017,January,40.0
2017,July,228.0
2017,April,48.0
2017,April,145.75
2017,February,34.4
2017,July,111.6
2017,February,48.0
2017,February,48.6
2017,August,172.0
2017,March,85.0
2017,July,224.0
2017,August,253.0
2017,August,254.0
2017,April,122.5
2017,February,0.0
2017,March,35.0
2017,March,35.0
2017,April,45.0
2017,April,86.5
2017,February,44.0
2017,January,65.0
2017,March,73.0
2017,June,75.0
2017,February,38.5
2017,April,124.0
2017,February,43.2
2017,June,75.0
2017,April,45.0
2017,January,64.0
2017,May,45.0
2017,April,136.2
2017,July,205.03
2017,February,43.0
2017,March,60.0
2017,April,60.0
2017,January,39.0
2017,June,195.0
2017,August,212.31
2017,February,35.0
2017,February,35.0
2017,March,35.0
2017,July,144.0
2017,February,54.0
2017,March,38.0
2017,March,8.0
2017,February,64.8
2017,January,40.0
2017,January,43.0
2017,January,35.0
2017,April,110.0
2017,February,58.0
2017,March,38.5
2017,April,48.5
2017,May,48.5
2017,July,142.0
2017,June,97.85
2017,February,35.0
2017,March,45.0
2017,April,45.0
2017,April,80.0
2017,January,35.0
2017,March,35.0
2017,April,48.0
2017,March,48.0
2017,February,30.0
2017,January,48.0
2017,March,60.0
2017,March,68.0
2017,March,35.0
2017,April,48.0
2017,January,45.6
2017,February,75.0
2017,January,35.0
2017,January,47.0
2017,March,50.0
2017,April,45.0
2017,June,82.8
2017,June,140.7
2017,January,43.0
2017,January,53.0
2017,January,40.0
2017,July,214.0
2017,March,30.0
2017,July,185.6
2017,July,189.0
2017,May,110.0
2017,February,130.0
2017,August,170.95
2017,August,225.6
2017,July,113.63
2017,February,55.0
2017,July,140.0
2017,January,43.0
2017,July,192.5
2017,June,68.4
2017,April,45.0
2017,January,35.0
2017,February,35.0
2017,August,335.0
2017,February,0.0
2017,February,60.0
2017,January,35.0
2017,March,70.0
2017,February,35.0
2017,April,45.0
2017,June,140.0
2017,January,48.0
2017,April,85.0
2017,January,35.0
2017,March,35.0
2017,January,35.0
2017,February,35.0
2017,March,60.0
2017,January,35.0
2017,January,55.0
2017,January,84.0
2017,April,161.0
2017,March,55.0
2017,February,48.0
2017,January,35.0
2017,March,35.0
2017,February,35.0
2017,February,36.0
2017,May,176.0
2017,May,152.0
2017,February,48.0
2017,February,61.2
2017,March,68.0
2017,February,73.0
2017,August,230.84
2017,May,67.0
2017,January,35.0
2017,July,225.0
2017,July,245.5
2017,July,151.88
2017,July,175.4
2017,August,275.25
2017,August,367.0
2017,January,77.0
2017,May,153.67
2017,April,72.0
2017,August,239.0
2017,August,180.0
2017,August,251.0
2017,August,225.5
2017,August,201.43
2017,April,72.16
2017,May,60.0
2017,April,100.0
2017,May,60.0
2017,March,35.0
2017,July,142.0
2017,February,49.5
2017,May,47.0
2017,January,35.0
2017,April,74.0
2017,August,211.2
2017,February,39.6
2017,April,61.5
2017,April,61.5
2017,August,200.0
2017,March,29.0
2017,April,42.0
2017,January,35.0
2017,February,42.0
2017,February,54.0
2017,March,-6.38
2017,April,0.0
2017,January,48.0
2017,January,39.0
2017,January,39.0
2017,April,71.43
2017,February,35.0
2017,March,35.0
2017,May,45.0
2017,May,85.0
2017,May,80.0
2017,January,47.0
2017,February,60.0
2017,March,70.0
2017,June,115.2
2017,March,65.0
2017,February,91.35
2017,April,126.5
2017,July,143.5
2017,August,184.0
2017,April,204.33
2017,March,35.0
2017,March,60.0
2017,May,94.16
2017,May,71.2
2017,June,134.0
2017,January,35.0
2017,March,35.0
2017,April,48.5
2017,May,90.25
2017,May,45.0
2017,April,7.0
2017,August,0.0
2017,February,35.0
2017,January,38.0
2017,March,38.5
2017,April,48.5
2017,May,78.5
2017,March,38.5
2017,January,51.0
2017,January,45.0
2017,January,49.67
2017,January,53.0
2017,February,63.5
2017,June,73.92
2017,June,171.0
2017,March,35.0
2017,March,42.0
2017,June,75.0
2017,June,318.82
2017,January,52.0
2017,July,156.5
2017,July,185.5
2017,August,204.0
2017,January,35.0
2017,February,35.0
2017,May,45.0
2017,May,56.0
2017,July,203.24
2017,August,236.93
2017,April,45.0
2017,July,131.55
2017,April,104.5
2017,June,160.0
2017,August,158.6
2017,June,140.0
2017,January,49.67
2017,July,139.35
2017,July,146.67
2017,June,162.0
2017,February,55.0
2017,January,35.0
2017,April,45.0
2017,May,45.0
2017,March,35.0
2017,May,45.0
2017,January,35.0
2017,January,35.0
2017,February,35.0
2017,March,47.0
2017,March,60.0
2017,January,35.0
2017,February,35.0
2017,May,75.0
2017,March,35.0
2017,March,35.0
2017,May,45.0
2017,January,35.0
2017,February,35.0
2017,March,77.0
2017,January,39.0
2017,February,35.0
2017,February,42.0
2017,March,35.0
2017,January,35.0
2017,January,35.0
2017,April,45.0
2017,June,75.0
2017,January,35.0
2017,April,117.0
2017,January,40.0
2017,April,50.0
2017,March,30.0
2017,January,0.0
2017,May,0.0
2017,June,149.0
2017,March,35.0
2017,January,43.0
2017,March,34.2
2017,March,48.0
2017,April,45.0
2017,June,75.0
2017,April,0.0
2017,July,127.0
2017,February,43.0
2017,March,34.2
2017,March,60.0
2017,May,45.0
2017,January,30.0
2017,August,142.0
2017,January,35.0
2017,January,35.0
2017,August,135.0
2017,May,163.43
2017,March,48.0
2017,February,49.0
2017,January,34.0
2017,March,65.0
2017,March,115.0
2017,February,48.0
2017,February,48.0
2017,January,48.0
2017,January,43.0
2017,May,82.8
2017,June,75.0
2017,February,48.0
2017,January,35.0
2017,January,58.0
2017,May,61.6
2017,April,71.3
2017,February,74.0
2017,April,68.0
2017,June,123.0
2017,January,55.0
2017,February,48.0
2017,June,193.33
2017,January,45.0
2017,January,89.06
2017,January,50.0
2017,March,35.0
2017,June,75.0
2017,February,75.0
2017,January,58.0
2017,January,95.0
2017,January,35.0
2017,February,35.0
2017,February,38.33
2017,March,35.0
2017,March,75.0
2017,February,55.0
2017,March,60.0
2017,May,72.0
2017,March,60.0
2017,February,43.0
2017,May,80.0
2017,January,75.0
2017,January,35.0
2017,February,35.0
2017,January,43.0
2017,March,55.0
2017,January,50.0
2017,May,80.0
2017,February,55.0
2017,March,38.5
2017,May,52.0
2017,July,142.0
2017,January,40.0
2017,January,40.0
2017,January,42.0
2017,February,38.5
2017,March,42.0
2017,April,48.5
2017,April,48.5
2017,June,77.0
2017,February,43.0
2017,May,66.0
2017,May,54.0
2017,June,226.67
2017,July,179.0
2017,July,170.0
2017,March,63.0
2017,January,68.0
2017,January,43.0
2017,February,64.8
2017,June,135.0
2017,January,70.0
2017,January,35.0
2017,June,75.0
2017,April,45.0
2017,January,43.0
2017,March,42.0
2017,January,35.0
2017,March,35.0
2017,March,60.0
2017,February,60.0
2017,January,44.0
2017,April,111.5
2017,January,75.0
2017,January,65.0
2017,May,92.0
2017,June,162.0
2017,February,76.5
2017,February,35.0
2017,March,34.0
2017,May,105.0
2017,January,59.0
2017,March,35.0
2017,March,27.36
2017,February,56.0
2017,February,50.0
2017,February,38.5
2017,February,60.0
2017,April,45.0
2017,April,45.0
2017,March,35.0
2017,January,44.0
2017,February,35.0
2017,April,45.0
2017,January,35.0
2017,January,35.0
2017,February,35.0
2017,March,35.0
2017,May,75.0
2017,March,35.0
2017,January,40.0
2017,February,55.0
2017,March,48.0
2017,May,99.0
2017,March,65.0
2017,June,163.25
2017,February,72.83
2017,January,57.0
2017,January,37.0
2017,March,48.0
2017,March,75.0
2017,March,80.0
2017,March,80.0
2017,March,63.0
2017,June,0.0
2017,February,0.0
2017,March,80.0
2017,March,80.0
2017,February,43.0
2017,January,35.0
2017,January,35.0
2017,January,42.0
2017,April,45.0
2017,April,75.6
2017,May,48.38
2017,January,47.0
2017,January,40.0
2017,January,34.0
2017,February,30.0
2017,February,49.5
2017,April,120.0
2017,April,62.1
2017,April,103.5
2017,February,48.0
2017,June,75.0
2017,March,83.47
2017,March,44.0
2017,February,43.0
2017,January,43.0
2017,March,35.0
2017,March,35.0
2017,March,35.0
2017,April,45.0
2017,April,80.8
2017,February,35.0
2017,February,43.0
2017,February,35.0
2017,May,52.8
2017,March,45.51
2017,January,35.0
2017,February,43.0
2017,February,54.0
2017,April,112.0
2017,July,140.94
2017,May,127.0
2017,January,0.0
2017,June,105.6
2017,March,60.0
2017,January,38.5
2017,May,52.0
2017,April,115.0
2017,May,85.0
2017,July,135.0
2017,June,75.0
2017,July,135.0
2017,August,145.0
2017,July,145.6
2017,March,65.0
2017,March,65.0
2017,March,97.0
2017,February,40.5
2017,March,65.0
2017,May,84.0
2017,March,35.0
2017,February,42.0
2017,April,85.0
2017,January,48.0
2017,March,48.0
2017,April,85.5
2017,May,45.0
2017,April,48.0
2017,April,48.0
2017,May,45.0
2017,January,38.5
2017,July,129.0
2017,May,52.85
2017,February,75.0
2017,May,34.2
2017,May,50.0
2017,June,140.0
2017,May,102.0
2017,June,87.68
2017,March,117.0
2017,March,129.0
2017,January,35.0
2017,February,35.0
2017,March,35.0
2017,May,45.0
2017,July,135.0
2017,June,183.88
2017,June,128.05
2017,June,156.83
2017,April,50.0
2017,June,70.26
2017,July,167.68
2017,March,35.0
2017,June,75.0
2017,June,107.95
2017,February,69.0
2017,May,52.85
2017,June,92.0
2017,August,230.0
2017,February,35.0
2017,June,84.8
2017,January,35.0
2017,January,40.0
2017,February,35.0
2017,March,35.0
2017,May,45.0
2017,March,107.0
2017,June,179.0
2017,July,154.0
2017,July,151.5
2017,July,106.85
2017,July,104.85
2017,July,231.88
2017,May,85.0
2017,July,135.9
2017,July,196.7
2017,June,130.0
2017,July,274.0
2017,August,248.0
2017,April,85.0
2017,April,90.0
2017,August,175.23
2017,August,207.33
2017,February,43.0
2017,July,209.0
2017,August,230.0
2017,August,189.5
2017,August,251.43
2017,August,285.0
2017,August,184.64
2017,August,271.0
2017,August,318.0
2017,August,297.0
2017,August,201.6
2017,August,185.4
2017,August,157.28
2017,August,349.0
2017,May,50.85
2017,August,196.5
2017,August,253.25
2017,July,139.5
2017,April,45.0
2017,May,144.5
2017,July,125.5
2017,April,122.0
2017,May,175.57
2017,April,92.8
2017,March,70.0
2017,March,35.0
2017,May,90.0
2017,May,90.0
2017,March,63.0
2017,March,75.0
2017,March,40.0
2017,March,80.0
2017,January,39.0
2017,January,44.0
2017,January,88.0
2017,April,147.0
2017,June,216.0
2017,August,331.0
2017,January,88.0
2017,August,231.0
2017,August,174.0
2017,February,35.0
2017,March,75.0
2017,April,63.75
2017,May,70.2
2017,June,100.0
2017,January,36.0
2017,January,46.17
2017,March,56.0
2017,January,35.0
2017,June,75.0
2017,February,43.2
2017,March,49.5
2017,February,60.0
2017,January,48.0
2017,March,60.0
2017,January,95.0
2017,February,68.0
2017,January,38.5
2017,March,42.0
2017,March,40.0
2017,June,108.5
2017,February,35.0
2017,January,39.6
2017,April,64.6
2017,February,65.0
2017,March,60.0
2017,April,60.0
2017,April,65.77
2017,March,53.39
2017,February,68.0
2017,February,55.0
2017,March,60.0
2017,March,30.0
2017,April,171.0
2017,February,36.0
2017,January,41.0
2017,January,52.0
2017,January,66.0
2017,January,85.0
2017,January,40.0
2017,March,55.0
2017,January,35.0
2017,March,35.0
2017,March,43.2
2017,March,35.0
2017,May,45.0
2017,February,42.0
2017,January,35.0
2017,January,35.0
2017,May,73.0
2017,January,35.0
2017,January,35.0
2017,May,45.0
2017,June,75.0
2017,July,135.0
2017,January,35.0
2017,February,33.65
2017,March,50.0
2017,June,108.0
2017,February,58.0
2017,February,52.67
2017,May,100.0
2017,January,44.0
2017,January,40.5
2017,February,48.6
2017,March,50.0
2017,January,83.6
2017,January,83.6
2017,January,0.0
2017,January,81.9
2017,January,111.0
2017,January,106.0
2017,January,71.0
2017,January,42.0
2017,January,64.0
2017,January,48.0
2017,January,48.0
2017,January,54.0
2017,January,44.0
2017,January,34.0
2017,January,48.0
2017,January,68.0
2017,January,41.0
2017,January,0.0
2017,January,62.0
2017,January,64.0
2017,January,48.0
2017,January,44.0
2017,January,41.0
2017,January,45.0
2017,February,68.5
2017,March,77.0
2017,January,35.0
2017,May,45.0
2017,January,29.11
2017,January,29.11
2017,January,88.0
2017,January,43.0
2017,January,75.0
2017,January,141.0
2017,January,64.0
2017,January,44.0
2017,January,74.0
2017,January,71.0
2017,January,44.0
2017,January,44.0
2017,January,42.0
2017,January,59.0
2017,January,72.6
2017,January,66.6
2017,January,35.0
2017,January,35.0
2017,January,98.64
2017,January,55.8
2017,January,55.8
2017,January,55.8
2017,January,54.0
2017,January,44.0
2017,January,29.0
2017,January,29.0
2017,January,44.0
2017,January,47.5
2017,January,54.0
2017,January,54.0
2017,January,54.0
2017,January,44.0
2017,January,44.0
2017,January,55.8
2017,January,58.0
2017,January,37.8
2017,January,40.4
2017,January,40.4
2017,January,108.3
2017,January,39.0
2017,January,37.8
2017,January,68.0
2017,January,48.0
2017,January,48.0
2017,January,93.0
2017,January,93.0
2017,January,44.0
2017,January,43.0
2017,January,44.0
2017,January,42.0
2017,January,59.66
2017,January,64.0
2017,January,34.0
2017,January,74.0
2017,January,52.66
2017,January,87.3
2017,January,64.0
2017,January,43.0
2017,January,48.0
2017,January,50.85
2017,January,74.0
2017,January,35.0
2017,January,35.0
2017,March,35.0
2017,June,75.0
2017,January,68.4
2017,January,44.0
2017,January,44.0
2017,January,50.0
2017,March,102.0
2017,January,88.53
2017,January,48.0
2017,January,54.0
2017,January,54.0
2017,January,55.0
2017,January,64.0
2017,January,64.0
2017,January,50.4
2017,January,37.8
2017,January,44.0
2017,January,48.0
2017,January,68.0
2017,January,52.4
2017,January,78.23
2017,January,44.0
2017,January,39.0
2017,January,70.8
2017,January,70.8
2017,January,44.0
2017,January,55.0
2017,January,44.0
2017,January,58.0
2017,January,136.0
2017,January,68.0
2017,January,42.0
2017,January,37.0
2017,January,74.0
2017,January,44.0
2017,January,95.0
2017,January,50.43
2017,January,48.0
