year,month,adr
2015,July,0.0
2015,July,0.0
2015,July,75.0
2015,July,75.0
2015,July,98.0
2015,July,98.0
2015,July,107.0
2015,July,103.0
2015,July,145.0
2015,July,97.0
2015,July,154.77
2015,July,94.71
2015,July,97.0
2015,July,97.5
2015,July,88.2
2015,July,107.42
2015,July,153.0
2015,July,97.29
2015,July,84.67
2015,July,84.67
2015,July,99.67
2015,July,94.95
2015,July,63.6
2015,July,79.5
2015,July,94.0
2015,July,87.3
2015,July,62.0
2015,July,63.86
2015,July,65.5
2015,July,98.0
2015,July,108.8
2015,July,137.0
2015,July,79.5
2015,July,123.0
2015,July,137.0
2015,July,110.7
2015,July,58.95
2015,July,82.88
2015,July,82.35
2015,July,119.35
2015,July,67.58
2015,July,56.01
2015,July,110.7
2015,July,88.2
2015,July,147.0
2015,July,107.0
2015,July,147.0
2015,July,117.9
2015,July,123.0
2015,July,98.0
2015,July,117.81
2015,July,135.0
2015,July,133.0
2015,July,58.95
2015,July,153.0
2015,July,110.5
2015,July,97.0
2015,July,91.5
2015,July,114.5
2015,July,90.9
2015,July,122.0
2015,July,110.7
2015,July,85.86
2015,July,58.95
2015,July,55.68
2015,July,111.15
2015,July,134.73
2015,July,92.45
2015,July,73.8
2015,July,98.0
2015,July,131.0
2015,July,123.0
2015,July,94.71
2015,July,123.0
2015,July,196.54
2015,July,99.3
2015,July,90.95
2015,July,92.67
2015,July,71.55
2015,July,96.49
2015,July,85.8
2015,July,96.3
2015,July,58.95
2015,July,73.8
2015,July,97.0
2015,July,139.0
2015,July,67.24
2015,July,116.5
2015,July,123.0
2015,July,71.55
2015,July,71.55
2015,July,149.0
2015,July,163.0
2015,July,79.5
2015,July,123.0
2015,July,0.0
2015,July,123.0
2015,July,73.8
2015,July,114.5
2015,July,73.8
2015,July,73.8
2015,July,88.2
2015,July,85.1
2015,July,89.0
2015,July,80.1
2015,July,98.0
2015,July,101.0
2015,July,167.0
2015,July,225.0
2015,July,97.0
2015,July,87.3
2015,July,85.59
2015,July,123.0
2015,July,107.0
2015,July,163.0
2015,July,82.0
2015,July,164.2
2015,July,97.29
2015,July,98.4
2015,July,175.0
2015,July,63.6
2015,July,124.45
2015,July,110.7
2015,July,74.07
2015,July,134.1
2015,July,167.0
2015,July,123.0
2015,July,117.81
2015,July,171.32
2015,July,210.0
2015,July,97.0
2015,July,117.81
2015,July,0.0
2015,July,0.0
2015,July,131.0
2015,July,98.0
2015,July,87.3
2015,July,97.0
2015,July,91.5
2015,July,73.8
2015,July,123.0
2015,July,175.0
2015,July,117.8
2015,July,117.63
2015,July,185.0
2015,July,47.25
2015,July,151.0
2015,July,120.6
2015,July,63.86
2015,July,157.1
2015,July,91.37
2015,July,73.0
2015,July,110.7
2015,July,93.6
2015,July,83.5
2015,July,82.0
2015,July,185.5
2015,July,0.0
2015,July,0.0
2015,July,109.8
2015,July,195.0
2015,July,109.8
2015,July,193.0
2015,July,97.0
2015,July,150.0
2015,July,98.0
2015,July,79.5
2015,July,126.65
2015,July,107.0
2015,July,131.0
2015,July,131.0
2015,July,146.0
2015,July,110.7
2015,July,61.0
2015,July,104.72
2015,July,77.96
2015,July,107.0
2015,July,89.68
2015,July,155.0
2015,July,112.0
2015,July,130.1
2015,July,100.1
2015,July,123.0
2015,July,124.0
2015,July,146.0
2015,July,82.0
2015,July,98.0
2015,July,75.46
2015,July,65.5
2015,July,90.95
2015,July,93.6
2015,July,119.25
2015,July,134.73
2015,July,112.0
2015,July,131.0
2015,July,88.2
2015,July,73.8
2015,July,98.0
2015,July,110.5
2015,July,131.0
2015,July,185.0
2015,July,87.3
2015,July,73.8
2015,July,120.0
2015,July,98.0
2015,July,96.3
2015,July,197.0
2015,July,197.0
2015,July,82.0
2015,July,165.0
2015,July,149.4
2015,July,106.84
2015,July,161.0
2015,July,134.43
2015,July,144.43
2015,July,152.0
2015,July,125.54
2015,July,133.83
2015,July,159.75
2015,July,120.6
2015,July,112.2
2015,July,110.6
2015,July,105.9
2015,July,95.27
2015,July,108.83
2015,July,120.6
2015,July,90.67
2015,July,144.4
2015,July,99.5
2015,July,139.4
2015,July,89.97
2015,July,123.0
2015,July,123.0
